graph_type,node,degree,in_degree,out_degree,betweenness,eigenvector,community
hashtags,hashtag:alienacionparental,56.0,,,0.00023617326159778624,0.011685939691722944,1
hashtags,hashtag:alienacionparentalesmaltratoinfantil,4.0,,,0.0,0.0005220621069712348,1
hashtags,hashtag:aliengod,10.0,,,0.0,0.0025579670246815064,7
hashtags,hashtag:alineacionparental,29.0,,,0.0,0.008643739604943006,1
hashtags,hashtag:allein,5.0,,,0.0,0.0025245591064974467,11
hashtags,hashtag:alllivesmatter,13.0,,,0.0,0.009361664786056809,1
hashtags,hashtag:alone,7.0,,,3.2070119820381673e-07,0.002491181755309113,41
hashtags,hashtag:alonebutstrong,19.0,,,0.0,0.002796844692480317,5
hashtags,hashtag:alpha,8.0,,,5.518820746306873e-06,0.0025144508391882494,5
hashtags,hashtag:alphamale,58.0,,,0.0004112306774569738,0.05450531816688568,1
hashtags,hashtag:alphamalestrategies,29.0,,,0.0,0.008368770534187487,5
hashtags,hashtag:alphamindset,17.0,,,0.0010186618215196383,0.004623668850340841,5
hashtags,hashtag:altapasteler,20.0,,,0.0,0.0060388951014323025,3
hashtags,hashtag:altapasteleria,20.0,,,0.0,0.0060388951014323025,3
hashtags,hashtag:altapasteleriariquettfood,20.0,,,0.0,0.0060388951014323025,3
hashtags,hashtag:altaperformance,17.0,,,0.0003937912298512593,0.0012380135361398966,6
hashtags,hashtag:altaperformancefeminina,20.0,,,0.0,0.0028099638933050727,2
hashtags,hashtag:altentico,1.0,,,0.0,0.00038380112509786357,6
hashtags,hashtag:altorendimiento,4.0,,,0.0,0.0009549637169436159,0
hashtags,hashtag:altosestandares,4.0,,,0.0,0.001940641292760825,0
hashtags,hashtag:altovalor,9.0,,,0.0,0.002786969398596382,2
hashtags,hashtag:alwaysinstyle,4.0,,,0.0,3.4384050916656445e-05,8
hashtags,hashtag:amamosanuestrospeludos,32.0,,,1.0436703253370697e-06,0.001891081663786306,6
hashtags,hashtag:amandome,28.0,,,0.0,0.0056091645620098786,9
hashtags,hashtag:ambici,7.0,,,0.0,0.0008824444601974013,0
hashtags,hashtag:amenazas,5.0,,,0.0,0.0005575641590383607,4
hashtags,hashtag:amentiratradwife,4.0,,,0.0,0.0036422599163671537,10
hashtags,hashtag:americannatural,14.0,,,3.858019248810073e-06,0.0006397449507336494,6
hashtags,hashtag:americanpyschoedit,3.0,,,0.0,0.0011585192454271283,1
hashtags,hashtag:americanwoman,29.0,,,0.0,0.005411935865336084,10
hashtags,hashtag:americanwomen,29.0,,,0.0,0.005411935865336084,10
hashtags,hashtag:amistadesreales,4.0,,,0.0,0.0006436603930289373,2
hashtags,hashtag:amizade,3.0,,,0.0,0.0034905400780107995,3
hashtags,hashtag:amoamifamilia,32.0,,,1.0436703253370697e-06,0.001891081663786306,6
hashtags,hashtag:amoamiperro,32.0,,,1.0436703253370697e-06,0.001891081663786306,6
hashtags,hashtag:amolacos,4.0,,,0.0,0.0013052609219118454,3
hashtags,hashtag:amoleer,12.0,,,0.0,0.001928918875273023,21
hashtags,hashtag:amor,85.0,,,0.0045739543921079215,0.02774024808649806,2
hashtags,hashtag:amoradios,28.0,,,0.0,0.0056091645620098786,9
hashtags,hashtag:amoralavida,11.0,,,0.0,0.0013090598238143186,28
hashtags,hashtag:amoraloshombres,27.0,,,0.0,0.03801431712513509,1
hashtags,hashtag:amorbonito,4.0,,,0.0,0.0013033282887341816,0
hashtags,hashtag:amorconconsciencia,4.0,,,0.0,0.0008783343014819567,0
hashtags,hashtag:amorconsciente,32.0,,,0.0005471853965113969,0.007052190502377336,0
hashtags,hashtag:amorcrudo,9.0,,,0.0,0.009048098985099715,1
hashtags,hashtag:amordepadre,9.0,,,4.700893613092985e-05,0.005166606662578947,1
hashtags,hashtag:amordepap,4.0,,,0.0,0.001014630758601906,47
hashtags,hashtag:amordepareja,8.0,,,0.0,0.002809326105896497,0
hashtags,hashtag:amordeperdi,4.0,,,0.0,0.0011024483593433901,3
hashtags,hashtag:amores,15.0,,,0.0,0.004898145520281152,2
hashtags,hashtag:amorincondicional,3.0,,,0.0,0.001112742683062013,1
hashtags,hashtag:amorinfinito,4.0,,,0.0,0.0006941842170917422,2
hashtags,hashtag:amorporlivros,21.0,,,0.0,0.004768598764886373,3
hashtags,hashtag:amorporlosperros,32.0,,,1.0436703253370697e-06,0.001891081663786306,6
hashtags,hashtag:amorpr,39.0,,,0.0007881273252853787,0.006772845973586038,0
hashtags,hashtag:amorprop,4.0,,,0.0,0.001617355043648165,0
hashtags,hashtag:amorpropio,181.0,,,0.013778027062425379,0.04550269434517991,0
hashtags,hashtag:amorpropiofemenino,13.0,,,2.8661382617920825e-05,0.002760524458424553,0
hashtags,hashtag:amorpropiomasculino,50.0,,,0.0002832184158693241,0.021052202534796175,0
hashtags,hashtag:amorpropiomujeres,4.0,,,0.0,0.0015974710642871197,0
hashtags,hashtag:amorpropioreal,4.0,,,0.0,0.002008011380466472,0
hashtags,hashtag:amorproprio,29.0,,,0.0008314415310822109,0.008117226676408809,1
hashtags,hashtag:amorsano,8.0,,,7.74746497604875e-05,0.002274855071372653,0
hashtags,hashtag:amorsincontrol,3.0,,,0.0,0.0012114864278518736,3
hashtags,hashtag:amorverdadero,4.0,,,0.0,0.002083001658213613,0
hashtags,hashtag:amoryrelaciones,19.0,,,0.0,0.003907469947536529,0
hashtags,hashtag:amparo,4.0,,,0.0,0.0005264878569119313,4
hashtags,hashtag:an,18.0,,,0.0,0.0017670106243526805,4
hashtags,hashtag:anacampagnolo,2.0,,,0.0,0.0030520837678116005,1
hashtags,hashtag:analisisjuridico,14.0,,,1.214443665574823e-06,0.0006425671678630838,4
hashtags,hashtag:anamayaespacioparasanar,4.0,,,0.0,0.0030425202402992557,1
hashtags,hashtag:anavid,27.0,,,7.023709656757658e-05,0.009614590849040686,1
hashtags,hashtag:ancestras,13.0,,,0.0,0.006524945572132704,1
hashtags,hashtag:androbalance,4.0,,,0.0,0.0006382558579733211,6
hashtags,hashtag:andropausa,20.0,,,0.0,0.0038796869927010987,2
hashtags,hashtag:andropausia,20.0,,,0.0,0.0038796869927010987,2
hashtags,hashtag:androsfera,102.0,,,0.0004305204192042603,0.07476941223167068,1
hashtags,hashtag:angeles,4.0,,,0.0,0.0008584027642688567,6
hashtags,hashtag:angelescanalyvida,4.0,,,0.0,0.0008584027642688567,6
hashtags,hashtag:angelmartineztuservidor,2.0,,,0.0,0.0005098699208407678,0
hashtags,hashtag:angola,6.0,,,0.0,0.0007539810662175623,2
hashtags,hashtag:angradosreis,4.0,,,0.0,3.1318321645449824e-32,54
