source,target,edge_type,weight
hashtag:feminismo,hashtag:tradewife,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:masculinismo,hashtag_cooccurrence,5
hashtag:antifeminista,hashtag:masculinismo,hashtag_cooccurrence,2
hashtag:antifeminista,hashtag:redpill,hashtag_cooccurrence,2
hashtag:custodiacompartida,hashtag:masculinismo,hashtag_cooccurrence,6
hashtag:masculinismo,hashtag:redpill,hashtag_cooccurrence,26
hashtag:antifeminista,hashtag:feminazis,hashtag_cooccurrence,1
hashtag:feminazis,hashtag:redpill,hashtag_cooccurrence,1
hashtag:ideologiadegenero,hashtag:masculinismo,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:antiprogre,hashtag_cooccurrence,35
hashtag:antifeminismo,hashtag:antiwoke,hashtag_cooccurrence,35
hashtag:antifeminismo,hashtag:politicamenteincorrecto,hashtag_cooccurrence,35
hashtag:antiprogre,hashtag:antiwoke,hashtag_cooccurrence,35
hashtag:antiprogre,hashtag:politicamenteincorrecto,hashtag_cooccurrence,35
hashtag:antiwoke,hashtag:politicamenteincorrecto,hashtag_cooccurrence,35
hashtag:antifeminismo,hashtag:antisistema,hashtag_cooccurrence,7
hashtag:antifeminismo,hashtag:brasil,hashtag_cooccurrence,11
hashtag:antifeminismo,hashtag:ocomunismonao,hashtag_cooccurrence,10
hashtag:antisistema,hashtag:brasil,hashtag_cooccurrence,7
hashtag:antisistema,hashtag:ocomunismonao,hashtag_cooccurrence,7
hashtag:antisistema,hashtag:redpill,hashtag_cooccurrence,6
hashtag:brasil,hashtag:ocomunismonao,hashtag_cooccurrence,10
hashtag:brasil,hashtag:redpill,hashtag_cooccurrence,9
hashtag:ocomunismonao,hashtag:redpill,hashtag_cooccurrence,8
hashtag:antifeminismo,hashtag:filosofia,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:historia,hashtag_cooccurrence,3
hashtag:antifeminismo,hashtag:marxismo,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:filosofia,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:historia,hashtag_cooccurrence,2
hashtag:feminismo,hashtag:marxismo,hashtag_cooccurrence,1
hashtag:filosofia,hashtag:historia,hashtag_cooccurrence,1
hashtag:filosofia,hashtag:marxismo,hashtag_cooccurrence,1
hashtag:historia,hashtag:marxismo,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:foraantifeminista,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:foramachista,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:foraantifeminista,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:foramachista,hashtag_cooccurrence,1
hashtag:foraantifeminista,hashtag:foramachista,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:deixemesermulher,hashtag_cooccurrence,5
hashtag:antifeminismo,hashtag:feminilidade,hashtag_cooccurrence,9
hashtag:antifeminismo,hashtag:feminilidadecontracultural,hashtag_cooccurrence,4
hashtag:antifeminismo,hashtag:genesis3,hashtag_cooccurrence,1
hashtag:deixemesermulher,hashtag:feminilidade,hashtag_cooccurrence,5
hashtag:deixemesermulher,hashtag:feminilidadecontracultural,hashtag_cooccurrence,4
hashtag:deixemesermulher,hashtag:genesis3,hashtag_cooccurrence,1
hashtag:feminilidade,hashtag:feminilidadecontracultural,hashtag_cooccurrence,4
hashtag:feminilidade,hashtag:genesis3,hashtag_cooccurrence,1
hashtag:feminilidadecontracultural,hashtag:genesis3,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:materialismo,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:proletariadodelmundounidos,hashtag_cooccurrence,1
hashtag:materialismo,hashtag:proletariadodelmundounidos,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:mulheresconservadoras,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:mulheresdedireita,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:conservadorismo,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:mulheresconservadoras,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:mulheresdedireita,hashtag_cooccurrence,1
hashtag:conservadorismo,hashtag:mulheresconservadoras,hashtag_cooccurrence,1
hashtag:conservadorismo,hashtag:mulheresdedireita,hashtag_cooccurrence,1
hashtag:mulheresconservadoras,hashtag:mulheresdedireita,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:antiilluminati,hashtag_cooccurrence,1
hashtag:antiilluminati,hashtag:brasil,hashtag_cooccurrence,1
hashtag:antiilluminati,hashtag:ocomunismonao,hashtag_cooccurrence,1
hashtag:antiilluminati,hashtag:redpill,hashtag_cooccurrence,1
hashtag:aborton,hashtag:antifeminismo,hashtag_cooccurrence,1
hashtag:aborton,hashtag:antifeminista,hashtag_cooccurrence,1
hashtag:aborton,hashtag:contraoaborto,hashtag_cooccurrence,1
hashtag:aborton,hashtag:provida,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:contraoaborto,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:provida,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:contraoaborto,hashtag_cooccurrence,1
hashtag:antifeminista,hashtag:provida,hashtag_cooccurrence,1
hashtag:contraoaborto,hashtag:provida,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:reflex,hashtag_cooccurrence,1
hashtag:deixemesermulher,hashtag:masculinidade,hashtag_cooccurrence,2
hashtag:deixemesermulher,hashtag:reflex,hashtag_cooccurrence,1
hashtag:feminilidade,hashtag:masculinidade,hashtag_cooccurrence,2
hashtag:feminilidade,hashtag:reflex,hashtag_cooccurrence,1
hashtag:masculinidade,hashtag:reflex,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:mexico,hashtag_cooccurrence,3
hashtag:antifeminismo,hashtag:vicentito,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:viral,hashtag_cooccurrence,2
hashtag:feminismo,hashtag:fyp,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:mexico,hashtag_cooccurrence,2
hashtag:feminismo,hashtag:vicentito,hashtag_cooccurrence,1
hashtag:feminismo,hashtag:viral,hashtag_cooccurrence,2
hashtag:fyp,hashtag:mexico,hashtag_cooccurrence,2
hashtag:fyp,hashtag:vicentito,hashtag_cooccurrence,1
hashtag:fyp,hashtag:viral,hashtag_cooccurrence,5
hashtag:mexico,hashtag:vicentito,hashtag_cooccurrence,1
hashtag:mexico,hashtag:viral,hashtag_cooccurrence,2
hashtag:vicentito,hashtag:viral,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:autoconocimiento,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:demachosahombres,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:gobernanza,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:latinoam,hashtag_cooccurrence,1
hashtag:autoconocimiento,hashtag:demachosahombres,hashtag_cooccurrence,1
hashtag:autoconocimiento,hashtag:gobernanza,hashtag_cooccurrence,1
hashtag:autoconocimiento,hashtag:latinoam,hashtag_cooccurrence,1
hashtag:demachosahombres,hashtag:gobernanza,hashtag_cooccurrence,1
hashtag:demachosahombres,hashtag:latinoam,hashtag_cooccurrence,1
hashtag:gobernanza,hashtag:latinoam,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:chega,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:cheganas,hashtag_cooccurrence,1
hashtag:antifeminismo,hashtag:portugal,hashtag_cooccurrence,1
hashtag:chega,hashtag:cheganas,hashtag_cooccurrence,1
hashtag:chega,hashtag:fyp,hashtag_cooccurrence,1
