source,target,edge_type,weight
user:marcela_cortes777,narrative:narrativa_16,user_narrative,1.0
user:fran.cogutt,narrative:narrativa_16,user_narrative,1.0
user:yesy63644,narrative:narrativa_16,user_narrative,1.0
user:cielo_cielo_lucero,narrative:narrativa_16,user_narrative,1.0
user:edith6623,narrative:narrativa_16,user_narrative,1.0
user:soolmunoz,narrative:narrativa_16,user_narrative,1.0
user:juan.marasco,narrative:narrativa_16,user_narrative,1.0
user:locarameloraro,narrative:narrativa_16,user_narrative,1.0
user:pluton.torres,narrative:narrativa_16,user_narrative,1.0
user:natynat93,narrative:narrativa_16,user_narrative,1.0
user:jess_cabanay,narrative:narrativa_16,user_narrative,1.0
user:lianys_ct,narrative:narrativa_16,user_narrative,1.0
user:lima.limon23lf,narrative:narrativa_16,user_narrative,1.0
user:soydanivalenzuela,narrative:narrativa_16,user_narrative,1.0
user:huguitogenio,narrative:narrativa_16,user_narrative,1.0
user:una_estrellaenmiventana,narrative:narrativa_16,user_narrative,2.0
user:m.graciacabrera,narrative:narrativa_16,user_narrative,1.0
user:ferchostu,narrative:narrativa_16,user_narrative,1.0
user:lauraalcocermartine,narrative:narrativa_16,user_narrative,1.0
user:radfem_madrid,narrative:narrativa_16,user_narrative,2.0
user:noahbarrio,narrative:narrativa_16,user_narrative,1.0
user:juanmanuelrosas1832,narrative:narrativa_16,user_narrative,1.0
user:tinchoo26,narrative:narrativa_16,user_narrative,1.0
user:frankillo03,narrative:narrativa_16,user_narrative,1.0
user:juliethmarinosorio,narrative:narrativa_16,user_narrative,1.0
user:alnes_va,narrative:narrativa_16,user_narrative,1.0
user:mariabelando_fisio,narrative:narrativa_16,user_narrative,1.0
user:lara210482anthro,narrative:narrativa_16,user_narrative,1.0
user:romypower369,narrative:narrativa_16,user_narrative,1.0
user:bkiddo111,narrative:narrativa_16,user_narrative,1.0
user:vicengetoris,narrative:narrativa_16,user_narrative,1.0
user:sweet_marie156,narrative:narrativa_16,user_narrative,1.0
user:madrescoraje,narrative:narrativa_16,user_narrative,1.0
user:madres_protectoras_laplata,narrative:narrativa_16,user_narrative,2.0
user:madresprotectorasmadrid,narrative:narrativa_16,user_narrative,2.0
user:bethelgueuse,narrative:narrativa_16,user_narrative,1.0
user:teresa.benjumea,narrative:narrativa_16,user_narrative,1.0
user:femhackarg,narrative:narrativa_16,user_narrative,1.0
user:cokilitvin,narrative:narrativa_16,user_narrative,1.0
user:marbendem,narrative:narrativa_16,user_narrative,1.0
user:melina_petu,narrative:narrativa_16,user_narrative,1.0
user:carola_hs,narrative:narrativa_16,user_narrative,1.0
user:del_amor_al_nopor_teatro,narrative:narrativa_16,user_narrative,1.0
user:fueradelacajacomunidad,narrative:narrativa_16,user_narrative,1.0
user:yaizaramossoy,narrative:narrativa_16,user_narrative,1.0
user:beauchefdiverso,narrative:narrativa_16,user_narrative,1.0
user:nuria_hernandezh,narrative:narrativa_16,user_narrative,1.0
user:floreceranmilflores,narrative:narrativa_16,user_narrative,1.0
user:lilo_elemele,narrative:narrativa_16,user_narrative,1.0
user:un.gato,narrative:narrativa_16,user_narrative,1.0
user:cocobaddie28,narrative:narrativa_16,user_narrative,1.0
user:ilove.volks,narrative:narrativa_16,user_narrative,1.0
user:ese.timmy,narrative:narrativa_16,user_narrative,1.0
profile:enriquesantosshow,narrative:narrativa_16,profile_narrative,6.0
profile:elchorrillerosl,narrative:narrativa_16,profile_narrative,1.0
profile:eldialp,narrative:narrativa_16,profile_narrative,1.0
profile:tu949fm,narrative:narrativa_16,profile_narrative,3.0
profile:elintransigente,narrative:narrativa_16,profile_narrative,1.0
profile:hartasmujeres,narrative:narrativa_16,profile_narrative,1.0
user:carlos___lujan,narrative:narrativa_17,user_narrative,1.0
user:carlesbatlleniubo,narrative:narrativa_17,user_narrative,1.0
user:compra_de_todounpocoo,narrative:narrativa_17,user_narrative,1.0
user:pedro_the_book_reader,narrative:narrativa_17,user_narrative,1.0
user:anabelensilvestri,narrative:narrativa_17,user_narrative,1.0
user:jair.viloriaa,narrative:narrativa_17,user_narrative,1.0
user:mrfelixprada,narrative:narrativa_17,user_narrative,1.0
user:cristina.hidalgo.2005,narrative:narrativa_17,user_narrative,1.0
user:milah_laffita,narrative:narrativa_17,user_narrative,1.0
user:kerbincito,narrative:narrativa_17,user_narrative,1.0
user:dfsaenz2,narrative:narrativa_17,user_narrative,1.0
user:noebony922,narrative:narrativa_17,user_narrative,1.0
user:fr_ederc5497,narrative:narrativa_17,user_narrative,1.0
user:teresa.benjumea,narrative:narrativa_17,user_narrative,1.0
profile:ajplusespanol,narrative:narrativa_17,profile_narrative,1.0
profile:tu949fm,narrative:narrativa_17,profile_narrative,2.0
profile:eldocetv,narrative:narrativa_17,profile_narrative,1.0
user:kellygimendezl,narrative:narrativa_18,user_narrative,1.0
user:femmeclothes_1,narrative:narrativa_18,user_narrative,1.0
user:wildanger_veronica,narrative:narrativa_18,user_narrative,1.0
user:noe.menendez,narrative:narrativa_18,user_narrative,1.0
user:mcelestia,narrative:narrativa_18,user_narrative,1.0
user:aranzazu_a_s,narrative:narrativa_18,user_narrative,1.0
user:princesa.brotedebambu,narrative:narrativa_18,user_narrative,1.0
user:pilar_chafer_vivirlocamente,narrative:narrativa_18,user_narrative,1.0
user:calistenico_electronico,narrative:narrativa_18,user_narrative,1.0
user:laaurissr,narrative:narrativa_18,user_narrative,1.0
user:abogada.aldanaros,narrative:narrativa_18,user_narrative,1.0
user:lp_cordoba_argentina,narrative:narrativa_18,user_narrative,1.0
user:selvaniboots,narrative:narrativa_18,user_narrative,1.0
user:bryaniri546,narrative:narrativa_18,user_narrative,1.0
user:zavarobocker,narrative:narrativa_18,user_narrative,1.0
